x,y
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#VulnerableDataSubject
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#NonCitizen
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Adult
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Member
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Tourist
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Citizen
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#GuardianOfDataSubject
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Employee
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Student
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Applicant
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Patient
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Customer
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Visitor
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Participant
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Consumer
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Child
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Subscriber
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#User
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#Immigrant
https://w3id.org/dpv#DataSubject,https://w3id.org/dpv#ParentOfDataSubject
https://w3id.org/dpv#VitalInterestOfNaturalPerson,https://w3id.org/dpv#VitalInterestOfDataSubject
https://w3id.org/dpv#Use,https://w3id.org/dpv#Retrieve
https://w3id.org/dpv#Use,https://w3id.org/dpv#Analyse
https://w3id.org/dpv#Use,https://w3id.org/dpv#Access
https://w3id.org/dpv#Use,https://w3id.org/dpv#Assess
https://w3id.org/dpv#Use,https://w3id.org/dpv#Consult
https://w3id.org/dpv#Use,https://w3id.org/dpv#Match
https://w3id.org/dpv#Use,https://w3id.org/dpv#Profiling
https://w3id.org/dpv#Obtain,https://w3id.org/dpv#Generate
https://w3id.org/dpv#Obtain,https://w3id.org/dpv#Collect
https://w3id.org/dpv#Obtain,https://w3id.org/dpv#Observe
https://w3id.org/dpv#Obtain,https://w3id.org/dpv#Derive
https://w3id.org/dpv#Obtain,https://w3id.org/dpv#Record
https://w3id.org/dpv#Obtain,https://w3id.org/dpv#Acquire
https://w3id.org/dpv#PrivacyNotice,https://w3id.org/dpv#ConsentNotice
https://w3id.org/dpv#VulnerableDataSubject,https://w3id.org/dpv#MentallyVulnerableDataSubject
https://w3id.org/dpv#VulnerableDataSubject,https://w3id.org/dpv#ElderlyDataSubject
https://w3id.org/dpv#VulnerableDataSubject,https://w3id.org/dpv#AsylumSeeker
https://w3id.org/dpv#LegalBasis,https://w3id.org/dpv#OfficialAuthorityOfController
https://w3id.org/dpv#LegalBasis,https://w3id.org/dpv#VitalInterest
https://w3id.org/dpv#LegalBasis,https://w3id.org/dpv#DataTransferLegalBasis
https://w3id.org/dpv#LegalBasis,https://w3id.org/dpv#Consent
https://w3id.org/dpv#LegalBasis,https://w3id.org/dpv#LegitimateInterest
https://w3id.org/dpv#LegalBasis,https://w3id.org/dpv#Contract
https://w3id.org/dpv#LegalBasis,https://w3id.org/dpv#PublicInterest
https://w3id.org/dpv#LegalBasis,https://w3id.org/dpv#LegalObligation
https://w3id.org/dpv#RecordsOfActivities,https://w3id.org/dpv#DataProcessingRecord
https://w3id.org/dpv#Necessity,https://w3id.org/dpv#NotRequired
https://w3id.org/dpv#Necessity,https://w3id.org/dpv#Optional
https://w3id.org/dpv#Necessity,https://w3id.org/dpv#Required
https://w3id.org/dpv#HumanInvolvement,https://w3id.org/dpv#HumanInvolvementForOversight
https://w3id.org/dpv#HumanInvolvement,https://w3id.org/dpv#HumanInvolvementForVerification
https://w3id.org/dpv#HumanInvolvement,https://w3id.org/dpv#HumanInvolvementForInput
https://w3id.org/dpv#LocationLocality,https://w3id.org/dpv#RemoteLocation
https://w3id.org/dpv#LocationLocality,https://w3id.org/dpv#LocalLocation
https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#DataSubject
https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#DataController
https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#DataExporter
https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#Representative
https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#Recipient
https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#Authority
https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#Organisation
https://w3id.org/dpv#SecurityMethod,https://w3id.org/dpv#VirtualisationSecurity
https://w3id.org/dpv#SecurityMethod,https://w3id.org/dpv#NetworkSecurityProtocols
https://w3id.org/dpv#SecurityMethod,https://w3id.org/dpv#UseSyntheticData
https://w3id.org/dpv#SecurityMethod,https://w3id.org/dpv#IntrusionDetectionSystem
https://w3id.org/dpv#SecurityMethod,https://w3id.org/dpv#NetworkProxyRouting
